"tripduration","starttime","stoptime","start station name","end station name"
1205,"2018-03-01 13:40:49.6460","2018-03-01 14:00:55.3630","Broadway & W 41 St","Cleveland Pl & Spring St"
1229,"2018-03-01 13:41:04.4300","2018-03-01 14:01:33.6830","Broadway & W 41 St","Cleveland Pl & Spring St"
244,"2018-03-01 13:58:35.7820","2018-03-01 14:02:40.4000","Broadway & W 41 St","6 Ave & W 33 St"
437,"2018-03-01 14:06:08.7770","2018-03-01 14:13:26.7660","Broadway & W 41 St","6 Ave & W 33 St"
648,"2018-03-01 14:07:43.6270","2018-03-01 14:18:32.1120","Broadway & W 41 St","Grand Army Plaza & Central Park S"
513,"2018-03-01 14:11:50.0350","2018-03-01 14:20:23.1530","Broadway & W 41 St","Broadway & W 58 St"
454,"2018-03-01 14:14:38.9980","2018-03-01 14:22:13.8320","Broadway & W 41 St","E 39 St & 3 Ave"
282,"2018-03-01 14:20:39.0130","2018-03-01 14:25:21.7100","Broadway & W 41 St","E 48 St & 5 Ave"
680,"2018-03-01 14:26:15.6480","2018-03-01 14:37:36.6230","Broadway & W 41 St","Broadway & W 58 St"
702,"2018-03-01 14:30:38.5030","2018-03-01 14:42:21.0790","Broadway & W 41 St","Broadway & E 22 St"
376,"2018-03-01 14:48:03.6330","2018-03-01 14:54:20.5240","Broadway & W 41 St","E 39 St & 3 Ave"
779,"2018-03-01 14:57:45.5770","2018-03-01 15:10:44.8780","Broadway & W 41 St","Broadway & W 41 St"
789,"2018-03-01 14:58:03.5430","2018-03-01 15:11:13.2630","Broadway & W 41 St","Greenwich Ave & 8 Ave"
140,"2018-03-01 15:02:28.0260","2018-03-01 15:04:48.1850","Broadway & W 41 St","Broadway & W 41 St"
781,"2018-03-01 15:04:28.6930","2018-03-01 15:17:30.3330","Broadway & W 41 St","W 20 St & 11 Ave"
662,"2018-03-01 15:05:57.4380","2018-03-01 15:17:00.3110","Broadway & W 41 St","9 Ave & W 28 St"
815,"2018-03-01 15:12:17.4570","2018-03-01 15:25:52.9230","Broadway & W 41 St","W 13 St & Hudson St"
880,"2018-03-01 15:23:22.4600","2018-03-01 15:38:03.1060","Broadway & W 41 St","Bank St & Washington St"
2387,"2018-03-01 15:27:04.3450","2018-03-01 16:06:52.0140","Broadway & W 41 St","37 Ave & 35 St"
612,"2018-03-01 15:36:21.2530","2018-03-01 15:46:33.9930","Broadway & W 41 St","E 55 St & 3 Ave"
420,"2018-03-01 15:40:33.6510","2018-03-01 15:47:34.1580","Broadway & W 41 St","9 Ave & W 45 St"
657,"2018-03-01 15:50:31.4750","2018-03-01 16:01:28.6250","Broadway & W 41 St","E 17 St & Broadway"
104,"2018-03-01 15:51:51.1680","2018-03-01 15:53:35.7320","Broadway & W 41 St","Broadway & W 37 St"
3146,"2018-03-01 15:56:06.0690","2018-03-01 16:48:32.1170","Broadway & W 41 St","Schermerhorn St & 3 Ave"
1732,"2018-03-01 15:56:59.1800","2018-03-01 16:25:51.4950","Broadway & W 41 St","Broadway & W 36 St"
2024,"2018-03-01 15:58:03.2000","2018-03-01 16:31:47.2990","Broadway & W 41 St","West St & Chambers St"
1610,"2018-03-01 15:59:55.7120","2018-03-01 16:26:46.4860","Broadway & W 41 St","W 56 St & 10 Ave"
447,"2018-03-01 16:04:51.0850","2018-03-01 16:12:18.5760","Broadway & W 41 St","W 25 St & 6 Ave"
500,"2018-03-01 16:09:52.4510","2018-03-01 16:18:13.1560","Broadway & W 41 St","E 44 St & 2 Ave"
244,"2018-03-01 16:09:57.8520","2018-03-01 16:14:02.5480","Broadway & W 41 St","Pershing Square North"
312,"2018-03-01 16:10:35.2470","2018-03-01 16:15:47.4110","Broadway & W 41 St","W 43 St & 10 Ave"
1164,"2018-03-01 16:11:38.0950","2018-03-01 16:31:02.6510","Broadway & W 41 St","MacDougal St & Washington Sq"
323,"2018-03-01 16:14:37.4190","2018-03-01 16:20:00.9050","Broadway & W 41 St","Pershing Square North"
600,"2018-03-01 16:29:51.6470","2018-03-01 16:39:51.8260","Broadway & W 41 St","E 32 St & Park Ave"
352,"2018-03-01 16:30:20.4920","2018-03-01 16:36:12.8450","Broadway & W 41 St","E 41 St & Madison Ave"
640,"2018-03-01 16:31:15.7870","2018-03-01 16:41:56.1340","Broadway & W 41 St","W 52 St & 5 Ave"
